Key,Bee_Detections,Temperature
4.10_05-12-18_19,12535,14.663625
4.10_05-13-18_16,14386,19.906125
4.10_05-13-18_17,18411,19.55425
4.10_05-12-18_14,21248,14.328
4.10_05-12-18_17,36738,14.671625
4.10_05-12-18_16,15668,13.539
4.10_05-14-18_17,8396,20.781125
4.10_05-14-18_16,12708,20.366875
4.10_05-14-18_14,10954,20.210625
4.10_05-14-18_13,12758,19.867125
4.10_05-14-18_12,15063,18.74975
4.10_05-14-18_10,11453,15.6245
4.10_05-14-18_18,10594,22.023
4.10_05-06-18_19,7740,25.5465
4.10_05-06-18_8,3418,16.827625
4.10_05-06-18_13,8303,25.94525
4.10_05-06-18_10,6976,21.06225
4.10_05-06-18_16,18386,27.1325
4.10_05-06-18_17,8650,27.3355
4.10_05-06-18_14,14418,26.53875
4.10_06-01-18_10,8422,18.312375
4.10_06-01-18_11,14003,19.0935
4.10_05-18-18_10,11361,16.898125
4.10_05-18-18_17,24173,21.70275
4.10_06-01-18_15,4647,20.538625
4.10_05-18-18_14,10725,21.328
4.10_06-01-18_19,18347,20.358875
4.10_05-18-18_18,7293,20.499625
4.10_05-05-18_19,10272,22.93725
4.10_06-03-18_18,26952,28.843375
4.10_06-03-18_12,24194,23.734125
4.10_06-03-18_13,10188,24.2575
4.10_06-03-18_10,11697,22.976125
4.10_04-29-18_13,17475,21.07
4.10_06-03-18_16,25633,28.609
4.10_06-03-18_17,21398,27.820125
4.10_05-05-18_17,13056,24.734375
4.10_06-02-18_18,30894,27.437375
4.10_06-02-18_13,14901,20.710875
4.10_06-02-18_12,12755,19.413875
4.10_06-02-18_10,15767,16.492
4.10_06-02-18_17,32314,32.8825
4.10_06-02-18_16,17921,23
4.10_06-02-18_15,19980,22.6245
4.10_06-02-18_14,50345,22.04675
4.10_05-09-18_19,18120,26.04675
4.10_05-09-18_14,2630,25.226125
4.10_05-09-18_17,21728,27.07025
4.10_05-09-18_16,26250,26.624875
4.10_05-09-18_10,9243,19.9215
4.10_05-09-18_13,4590,24.82775
4.10_05-09-18_12,4932,23.56225
4.10_04-30-18_16,15797,10.2965
4.10_04-30-18_17,9739,9.031
4.10_04-30-18_14,6170,9.749625
4.10_05-28-18_19,19962,17.07775
4.10_04-30-18_13,12278,9.867
4.10_04-30-18_10,14649,7.281125
4.10_04-30-18_11,14722,7.78875
4.10_05-28-18_13,13274,23.14025
4.10_05-28-18_10,11907,20.233875
4.10_05-28-18_11,15318,21.773375
4.10_05-28-18_16,13137,22.695
4.10_05-28-18_17,12337,19.289
4.10_05-28-18_14,13611,23.710625
4.10_06-09-18_9,12410,21.054625
4.10_05-04-18_9,20726,13.54675
4.10_05-26-18_9,8421,19.429625
4.10_05-19-18_16,20126,24.757625
4.10_05-19-18_17,13537,23.882375
4.10_05-24-18_19,9575,26.28075
4.10_05-24-18_16,20771,26.155875
4.10_05-24-18_17,10068,26.8905
4.10_05-19-18_18,22031,23.8435
4.10_06-05-18_9,1134,21.3045
4.10_05-24-18_13,24315,24.023125
4.10_05-24-18_10,5580,19.437125
4.10_05-24-18_11,19609,21.0465
4.10_04-29-18_14,15780,21.0465
4.10_04-29-18_16,13844,21.413875
4.10_04-29-18_17,17138,20.882375
4.10_04-29-18_10,10433,15.078125
4.10_04-29-18_12,12352,20.437125
4.10_06-01-18_9,27557,17.616875
4.10_05-03-18_8,11277,8.31225
4.10_04-29-18_19,7969,17.26525
4.10_05-21-18_13,18517,22.734125
4.10_05-21-18_12,16167,21.453
4.10_05-21-18_10,6051,18.476125
4.10_05-21-18_17,18025,21.874875
4.10_05-09-18_8,6466,17.14025
4.10_05-21-18_15,13995,25.19525
4.10_05-21-18_14,16517,22.9375
4.10_05-21-18_19,11146,21.625
4.10_05-27-18_14,13713,22.929375
4.10_05-31-18_9,25125,20.062125
4.10_05-31-18_13,20878,23.319875
4.10_05-21-18_9,12007,17.4765
4.10_05-26-18_14,10344,25.906125
4.10_05-06-18_12,5787,25.046625
4.10_05-26-18_10,20591,21.296625
4.10_05-27-18_13,14343,22.648125
