Key,Bee_Detections,Temperature
4.5_05-11-18_14,5106,14.007625
4.5_05-28-18_10,1190,20.788875
4.5_06-05-18_15,9107,31.437375
4.5_05-15-18_13,1659,22.82025
4.5_05-15-18_11,5682,21.226375
4.5_05-15-18_10,7232,19.49975
4.5_05-15-18_17,17905,24.53875
4.5_05-15-18_16,10553,24.757375
4.5_05-09-18_8,2135,18.29675
4.5_05-15-18_14,11119,23.47625
4.5_05-05-18_17,12365,22.42925
4.5_05-23-18_12,6948,21.788875
4.5_05-21-18_9,2816,18.694875
4.5_04-29-18_15,18456,22.3825
4.5_05-20-18_19,4918,22.28075
4.5_05-22-18_11,2919,19.679375
4.5_05-09-18_19,10256,27.46075
4.5_05-09-18_14,10306,27.226375
4.5_05-20-18_9,6212,19.562125
4.5_05-09-18_17,10602,28.616875
4.5_05-09-18_10,7221,21.499875
4.5_05-09-18_11,11441,23.3515
4.5_05-09-18_13,5186,26.593625
4.5_05-06-18_13,12665,27.640625
4.5_05-06-18_12,6432,26.2655
4.5_05-06-18_10,9464,22.75775
4.5_05-06-18_17,22472,28.48425
4.5_05-06-18_16,18671,28.35125
4.5_05-06-18_14,12369,27.867
4.5_05-06-18_19,4810,26.9685
4.5_05-18-18_14,10607,22.117125
4.5_05-22-18_10,3276,18.999875
4.5_05-15-18_9,6098,17.405875
4.5_05-22-18_14,6423,21.429625
4.5_05-22-18_17,5953,21.117125
4.5_05-22-18_16,15525,21.796625
4.5_05-22-18_18,2836,21.468625
4.5_04-30-18_9,681,7.499875
4.5_05-31-18_19,17150,36.242125
4.5_05-28-18_14,23344,22.45275
4.5_05-14-18_19,2296,21.038625
4.5_05-30-18_19,0,25.58575
4.5_05-30-18_14,22121,24.835875
4.5_05-14-18_13,7363,21.06225
4.5_05-30-18_16,21155,26.6795
4.5_05-30-18_17,21742,25.99175
4.5_05-30-18_10,2688,21.859125
4.5_05-14-18_17,11761,21.999625
4.5_05-30-18_12,18820,23.367
4.5_05-14-18_15,20569,22.335625
4.5_05-31-18_15,23723,25.093625
4.5_05-13-18_18,3828,17.617125
4.5_05-27-18_18,16336,23.14825
4.5_06-08-18_16,4422,31.429625
4.5_05-05-18_19,3803,24.32775
4.5_05-28-18_9,6218,18.54675
4.5_05-15-18_18,7750,22.663875
4.5_05-11-18_18,15976,14.453
4.5_05-11-18_17,6845,14.398375
4.5_05-31-18_11,17700,23.804625
4.5_05-11-18_15,10199,14.187125
4.5_06-04-18_9,2966,22.030875
4.5_05-11-18_13,3309,13.687125
4.5_05-11-18_12,5311,13.968375
4.5_05-05-18_16,27422,20.648
4.5_05-11-18_10,2167,14.898
4.5_05-23-18_10,1518,20.58575
4.5_06-07-18_9,5590,25.55425
4.5_05-23-18_13,15757,21.992
4.5_05-23-18_14,10279,22.6715
4.5_05-23-18_16,25494,23.31225
4.5_05-23-18_17,19438,23.820125
4.5_05-23-18_19,7857,23.617125
4.5_05-12-18_14,6390,15.3435
4.5_05-12-18_10,13027,14.577875
4.5_05-12-18_12,12108,14.367125
4.5_05-12-18_13,25003,15.663625
4.5_05-27-18_14,4645,22.210875
4.5_05-27-18_15,16902,22.624875
4.5_05-27-18_17,11162,23.109125
4.5_05-27-18_10,5329,19.914
4.5_05-27-18_12,6000,21.38275
4.5_05-27-18_13,10349,22.16375
4.5_05-28-18_13,11344,22.593625
4.5_05-28-18_12,16181,22.914
4.5_05-13-18_17,12517,20.88275
4.5_06-07-18_10,2880,29.101375
4.5_05-28-18_17,11777,19.296625
4.5_05-13-18_10,18791,15.655875
4.5_05-13-18_13,33727,20.125
4.5_05-13-18_12,15074,18.39825
4.5_05-18-18_10,2638,17.866875
4.5_06-06-18_13,4100,27.22625
4.5_06-06-18_10,2369,25.335625
4.5_06-06-18_11,5213,24.992
4.5_06-06-18_16,22810,31.39825
4.5_06-06-18_17,7635,31.171875
4.5_06-06-18_14,5512,29.726375
4.5_05-13-18_15,18311,21.07025
4.5_05-20-18_15,9827,25.22625
4.5_04-29-18_18,1949,20.25775
4.5_05-21-18_10,4496,20.47625
4.5_05-12-18_9,10991,13.664
4.5_05-13-18_14,20305,20.874625
4.5_06-06-18_19,5928,30.01525
4.5_05-21-18_12,8174,22.453125
4.5_06-07-18_19,2971,29.382375
4.5_05-28-18_16,21413,22.257375
