Key,Bee_Detections,Temperature
4.7_05-13-18_9,4763,14.195
4.7_05-15-18_12,7503,20.351125
4.7_05-28-18_9,6630,19.273
4.7_05-02-18_15,1717,21.49975
4.7_05-02-18_14,11924,20.88275
4.7_05-02-18_17,1997,17.75
4.7_05-02-18_11,5005,15.61675
4.7_05-02-18_10,4885,13.54675
4.7_05-02-18_13,10751,19.6715
4.7_05-06-18_11,4641,25.82025
4.7_05-06-18_10,4973,23.66375
4.7_05-06-18_13,8702,28.24975
4.7_05-06-18_15,20627,28.452875
4.7_05-06-18_14,6903,28.163625
4.7_05-06-18_17,10552,28.734125
4.7_05-05-18_8,6212,17.366875
4.7_05-06-18_8,3436,19.101125
4.7_05-03-18_9,5733,13.42925
4.7_05-06-18_19,2908,26.530875
4.7_05-16-18_15,14529,24.32775
4.7_05-08-18_17,12157,27.773125
4.7_05-08-18_15,5998,25.913875
4.7_05-13-18_18,1463,19.085625
4.7_05-08-18_13,7123,25.023
4.7_05-08-18_11,5929,22.554625
4.7_05-08-18_10,3523,21.202875
4.7_05-13-18_13,12907,18.773
4.7_05-15-18_14,6188,22.257625
4.7_05-13-18_11,26811,16.656
4.7_05-15-18_16,8354,23.718625
4.7_05-13-18_17,9910,20.937125
4.7_05-15-18_10,6684,18.6245
4.7_05-08-18_19,3856,25.63275
4.7_05-13-18_14,24515,19.656
4.7_05-03-18_17,8392,25.46825
4.7_06-04-18_14,4431,-
4.7_06-04-18_17,25751,-
4.7_06-04-18_16,34571,-
4.7_06-04-18_10,5054,-
4.7_06-04-18_13,6215,-
4.7_06-04-18_12,4334,-
4.7_06-04-18_19,6918,-
4.7_06-04-18_8,7035,-
4.7_07-03-18_9,13088,20.507375
4.7_06-17-18_19,19710,26.929375
4.7_06-15-18_17,19849,25.046625
4.7_06-15-18_16,23267,27.226125
4.7_06-15-18_14,9693,25.593375
4.7_06-15-18_13,4467,25.358875
4.7_06-15-18_11,4683,23.492
4.7_06-15-18_10,6953,22.765125
4.7_06-15-18_18,13971,27.32775
4.7_06-03-18_18,10108,-
4.7_06-03-18_12,6777,-
4.7_06-03-18_13,8960,-
4.7_06-03-18_10,3784,-
4.7_06-03-18_16,10541,-
4.7_06-03-18_17,14534,-
4.7_06-03-18_14,6311,-
4.7_06-17-18_14,19682,-
4.7_06-02-18_19,3819,24.054375
4.7_06-17-18_16,24795,-
4.7_06-17-18_11,11368,-
4.7_06-17-18_10,9976,19.51525
4.7_06-17-18_13,18281,-
4.7_06-02-18_17,6914,24.562125
4.7_07-03-18_19,25865,25.05425
4.7_07-03-18_14,28444,24.804625
4.7_07-03-18_17,23994,26.523125
4.7_07-03-18_16,34968,26.273125
4.7_07-03-18_10,16216,21.39825
4.7_07-03-18_13,21110,22.593375
4.7_07-03-18_12,16106,22.914
4.7_06-12-18_8,5659,-
4.7_06-12-18_10,7396,-
4.7_06-12-18_11,5047,-
4.7_07-06-18_10,18914,26.55425
4.7_07-06-18_11,25398,28.2575
4.7_07-06-18_13,89474,32.015125
4.7_07-06-18_14,99826,32.820125
4.7_07-06-18_15,93489,33.452875
4.7_07-06-18_17,17206,34.14025
4.7_06-12-18_13,4162,-
4.7_07-05-18_17,84675,33.117125
4.7_06-12-18_15,12155,-
4.7_06-30-18_9,9784,21.656125
4.7_06-13-18_9,4820,-
4.7_06-12-18_17,15364,-
4.7_06-28-18_18,38068,31.788875
4.7_06-28-18_13,32466,30.9215
4.7_06-28-18_12,25993,29.468375
4.7_06-28-18_10,21347,26.671375
4.7_06-28-18_17,28848,32.7105
4.7_06-28-18_15,31183,31.9995
4.7_07-06-18_9,13746,24.952875
4.7_06-17-18_9,9470,48.460875
4.7_07-04-18_13,20729,26.76525
4.7_07-04-18_10,13844,20.75
4.7_07-04-18_11,9219,22.687375
4.7_07-04-18_17,36929,30.734125
4.7_07-04-18_14,27595,28.445125
4.7_07-04-18_15,33262,29.562125
4.7_07-04-18_19,38931,29.218375
4.7_06-28-18_9,13585,23.796375
4.7_06-26-18_18,21837,30.1875
4.7_06-26-18_14,15506,28.601125
4.7_06-26-18_17,16987,30.66375
4.7_06-26-18_16,18051,30.460625
4.7_06-26-18_10,10193,23.031125
4.7_06-26-18_13,15368,27.374625
4.7_06-26-18_12,9557,26.1015
4.7_07-04-18_9,9587,18.788875
4.7_06-13-18_17,9796,-
4.7_06-13-18_19,11729,-
4.7_07-07-18_10,14215,25.734
4.7_07-07-18_13,31611,27.913875
4.7_07-07-18_12,26957,27.07775
4.7_07-07-18_14,62733,28.8435
4.7_06-13-18_11,5198,-
4.7_06-13-18_10,5008,-
4.7_06-13-18_13,8463,-
4.7_06-13-18_15,12412,-
4.7_06-13-18_14,6743,-
4.7_06-11-18_9,3036,-
4.7_06-28-18_14,28063,31.38275
4.7_06-09-18_18,31256,-
4.7_06-30-18_15,12642,26.656
4.7_06-30-18_10,8783,21.742
4.7_06-30-18_12,11977,23.741875
4.7_06-30-18_13,10020,24.374875
4.7_06-05-18_8,5494,-
4.7_07-07-18_8,16345,23.554375
4.7_07-05-18_13,38497,29.062125
4.7_07-05-18_12,22203,28.02325
4.7_07-05-18_10,16854,25.16375
4.7_06-12-18_14,6339,-
4.7_07-05-18_16,42614,32.562125
4.7_07-05-18_14,48095,30.0545
4.7_06-12-18_18,12027,-
4.7_07-05-18_18,57399,31.9605
4.7_06-30-18_14,16153,24.9685
4.7_06-05-18_19,4695,-
4.7_06-05-18_14,4288,-
4.7_06-05-18_15,7410,-
4.7_06-05-18_17,10233,-
4.7_06-05-18_10,1976,-
4.7_06-05-18_11,3434,-
4.7_06-05-18_13,5520,-
4.7_06-11-18_19,10221,-
4.7_06-11-18_13,7528,-
4.7_06-11-18_12,5716,-
4.7_06-15-18_9,5502,21.233875
4.7_06-11-18_10,8521,-
4.7_06-11-18_17,9367,-
4.7_06-11-18_16,13471,-
4.7_06-11-18_15,18057,-
4.7_06-11-18_14,13738,24.3745
4.7_06-03-18_8,3199,-
4.7_07-05-18_9,13735,22.820125
4.7_06-23-18_18,29662,-
4.7_06-16-18_18,30301,28.5155
4.7_07-06-18_19,45070,32.171625
4.7_06-26-18_9,9438,21.5855
4.7_06-16-18_17,24007,27.531
4.7_06-23-18_14,20491,25.937
4.7_06-23-18_15,25319,-
4.7_06-23-18_17,21099,-
4.7_06-17-18_17,41696,-
4.7_06-18-18_8,7673,-
