Key,Bee_Detections,Temperature
4.7_05-02-18_18,3126,17.476125
4.7_05-02-18_8,2220,10.632375
4.7_04-30-18_9,13543,10.359375
4.7_05-13-18_15,12195,20.312375
4.7_04-30-18_14,14516,13.726125
4.7_04-30-18_17,7226,13.437375
4.7_04-30-18_16,14684,14.296625
4.7_04-30-18_10,12128,10.694875
4.7_04-30-18_13,10346,13.16375
4.7_04-30-18_12,10595,11.87475
4.7_04-30-18_18,14926,12.14025
4.7_05-31-18_12,26341,23.87475
4.7_05-12-18_16,4241,14.632625
4.7_05-12-18_17,9507,15.53075
4.7_05-12-18_14,9391,15.375
4.7_05-16-18_19,6921,24.3905
4.7_05-30-18_9,12312,20.742125
4.7_05-26-18_19,26051,25.26525
4.7_05-26-18_17,18565,27.187
4.7_05-26-18_16,42116,25.89025
4.7_05-12-18_19,3980,15.65625
4.7_05-19-18_17,5955,19.79675
4.7_05-09-18_8,3289,19.163875
4.7_05-09-18_16,9598,28.89025
4.7_05-09-18_17,9319,29.4375
4.7_05-09-18_14,3302,27.265375
4.7_05-07-18_9,7788,21.1795
4.7_05-09-18_13,6945,26.945
4.7_05-09-18_10,5958,22.507625
4.7_05-09-18_11,4446,24.117125
4.7_05-31-18_8,19335,19.77325
4.7_05-15-18_9,8270,17.429375
4.7_05-28-18_19,970,18.038625
4.7_05-05-18_19,8848,23.859125
4.7_05-05-18_13,4657,25.60125
4.7_05-05-18_10,3647,20.507625
4.7_05-05-18_11,6125,22.4605
4.7_05-05-18_16,10666,26.734
4.7_05-16-18_9,9000,19.0075
4.7_05-05-18_14,7195,26.25
4.7_05-07-18_15,21155,26.75
4.7_05-07-18_17,7546,28.1715
4.7_05-20-18_13,10416,23.085625
4.7_06-02-18_10,7481,18.55425
4.7_06-02-18_11,9918,19.82025
4.7_06-02-18_13,21161,21.937125
4.7_06-02-18_14,23349,22.74975
4.7_06-02-18_15,26330,24.351125
4.7_05-30-18_19,0,23.89825
4.7_05-30-18_13,26289,24.57
4.7_05-30-18_10,5695,21.921625
4.7_05-30-18_11,22281,22.82
4.7_05-30-18_17,29006,26.944875
4.7_05-30-18_14,15620,25.562125
4.7_05-30-18_15,43169,26.0625
4.7_05-20-18_19,5467,21.65625
4.7_05-20-18_10,6331,20.562375
4.7_05-21-18_8,1460,18.054625
4.7_05-20-18_12,10616,22.1015
4.7_05-20-18_15,14183,24.273
4.7_05-20-18_14,6986,23.742125
4.7_05-20-18_17,3760,23.335625
4.7_05-05-18_17,11578,26.398375
4.7_05-20-18_8,6459,19.202875
4.7_05-08-18_8,4665,17.460625
4.7_05-03-18_14,22710,23.57775
4.7_05-03-18_15,16566,23.55425
4.7_06-02-18_9,6501,17.069875
4.7_05-03-18_10,4262,16.358875
4.7_05-03-18_11,8357,19.491875
4.7_05-03-18_13,11696,22.539
4.7_05-15-18_19,3192,21.14825
4.7_05-03-18_18,5685,25.140125
4.7_05-31-18_13,35598,25.069875
4.7_05-19-18_18,10028,22.9685
4.7_05-31-18_10,22844,21.98425
4.7_05-31-18_17,25908,27.41375
4.7_05-31-18_16,42046,27.390375
4.7_05-31-18_14,35610,25.374625
4.7_05-16-18_17,3973,25.827625
4.7_05-16-18_14,8004,23.702875
4.7_05-31-18_18,26845,27.273
4.7_05-16-18_12,12355,21.679625
4.7_05-16-18_13,9072,22.64825
4.7_05-16-18_10,5833,19.632375
4.7_05-19-18_16,9486,22.656
4.7_05-07-18_18,9034,27.132625
4.7_05-28-18_10,12741,20.328125
4.7_05-28-18_13,17648,22.202875
4.7_05-28-18_12,10305,22.30425
4.7_05-28-18_14,24151,22.296375
4.7_05-28-18_17,7464,20.749625
4.7_05-28-18_16,23555,22.9685
4.7_05-07-18_10,4510,22.875
4.7_05-07-18_12,7285,24.195
4.7_05-07-18_13,7001,25.757625
4.7_05-07-18_14,7921,26.14825
4.7_05-15-18_17,7034,24.319875
4.7_05-08-18_14,7086,25.36675
4.7_05-13-18_10,9592,15.507375
4.7_05-15-18_13,17248,21.617125
