Key,Bee_Detections,Temperature
4.8_05-23-18_13,3559,25.437
4.8_05-11-18_19,934,17.718375
4.8_05-23-18_18,3727,24.257375
4.8_05-10-18_10,498,21.86675
4.8_04-29-18_10,1645,27.960875
4.8_05-03-18_8,1376,16.194875
4.8_05-20-18_9,996,27.42925
4.8_05-30-18_8,5042,24.093625
4.8_05-06-18_12,2332,33.491875
4.8_05-27-18_9,2688,23.945
4.8_05-14-18_15,6193,25.179375
4.8_05-06-18_18,2160,28.859375
4.8_05-06-18_16,13636,30.328
4.8_05-14-18_12,4937,27.898125
4.8_06-14-18_16,38062,30.562125
4.8_06-14-18_17,34707,31.132375
4.8_06-14-18_14,23545,29.578
4.8_06-14-18_12,30261,28.273
4.8_06-14-18_13,26345,28.74175
4.8_06-14-18_10,11763,26.421625
4.8_06-14-18_18,38526,29.656125
4.8_06-04-18_15,16554,-
4.8_06-04-18_14,13946,-
4.8_06-04-18_17,13469,-
4.8_06-03-18_19,6761,-
4.8_06-04-18_11,3776,-
4.8_06-04-18_10,3584,-
4.8_06-04-18_13,8690,-
4.8_06-11-18_13,6568,-
4.8_06-11-18_12,17302,-
4.8_06-15-18_9,7391,21.233875
4.8_06-11-18_10,5774,-
4.8_06-11-18_17,13502,-
4.8_06-11-18_15,15597,-
4.8_06-11-18_14,7456,24.3745
4.8_06-13-18_19,33167,-
4.8_06-04-18_8,4138,-
4.8_06-13-18_10,7513,-
4.8_06-13-18_13,27061,-
4.8_06-13-18_12,46316,-
4.8_06-13-18_14,19551,-
4.8_06-13-18_17,37468,-
4.8_06-13-18_16,28643,-
4.8_06-15-18_17,13735,25.046625
4.8_06-09-18_10,5091,-
4.8_06-15-18_15,21647,26.07
4.8_06-15-18_14,17661,25.593375
4.8_06-15-18_13,16281,25.358875
4.8_06-15-18_12,29112,24.398125
4.8_06-03-18_9,13246,-
4.8_06-03-18_10,10331,-
4.8_06-15-18_19,5190,25.898125
4.8_06-09-18_18,15640,-
4.8_06-11-18_9,3739,-
4.8_06-13-18_8,6578,-
4.8_06-03-18_12,28455,-
4.8_06-03-18_13,9781,-
4.8_06-09-18_12,23160,-
4.8_06-09-18_13,12960,-
4.8_06-09-18_14,10365,-
4.8_06-09-18_15,33096,-
4.8_06-03-18_14,11220,-
4.8_06-03-18_15,12846,-
4.8_06-02-18_19,3427,24.054375
4.8_06-15-18_10,9659,22.765125
4.8_06-06-18_8,7670,-
4.8_06-02-18_17,6742,24.562125
4.8_06-02-18_16,7631,-
4.8_06-09-18_17,16783,-
4.8_06-14-18_8,9591,20.820125
4.8_06-11-18_19,5879,-
4.8_06-04-18_19,5547,-
4.8_06-06-18_17,8937,-
4.8_06-06-18_16,15565,-
4.8_06-06-18_14,5062,-
4.8_06-06-18_13,7001,-
4.8_06-06-18_12,15612,-
4.8_06-06-18_10,4247,-
4.8_06-03-18_17,10158,-
4.8_06-09-18_8,6999,-
4.8_06-06-18_18,9178,-
