FRAME,COUNT
0,0
1,1
2,4
3,3
4,4
5,4
6,5
7,5
8,8
9,5
10,4
11,7
12,5
13,6
14,4
15,5
16,6
17,3
18,1
19,1
20,1
21,1
22,1
23,0
24,2
25,1
26,2
27,4
28,4
29,3
30,5
31,5
32,7
33,7
34,8
35,9
36,9
37,10
38,13
39,8
40,8
41,7
42,3
43,4
44,5
45,5
46,7
47,8
48,5
49,7
50,9
51,4
52,9
53,9
54,10
55,8
56,7
57,7
58,9
59,10
60,9
61,7
62,5
63,7
64,10
65,9
66,9
67,7
68,6
69,7
70,8
71,9
72,12
73,8
74,8
75,8
76,8
77,8
78,8
79,9
80,9
81,11
82,9
83,12
84,9
85,6
86,5
87,11
88,9
89,11
90,8
91,10
92,13
93,10
94,5
95,10
96,9
97,8
98,11
99,9
100,9
101,10
102,10
103,8
104,9
105,11
106,10
107,11
108,8
109,5
110,8
111,8
112,10
113,10
114,12
115,9
116,8
117,11
118,8
119,11
120,9
121,10
122,9
123,10
124,8
125,12
126,12
127,7
128,8
129,8
130,11
131,9
132,12
133,11
134,13
135,11
136,14
137,11
138,11
139,12
140,8
141,11
142,10
143,9
144,12
145,9
146,12
147,11
148,8
149,8
150,9
151,11
152,14
153,12
154,13
155,8
156,11
157,12
158,12
159,13
160,14
161,12
162,15
163,13
164,13
165,13
166,13
167,13
168,14
169,15
170,11
171,11
172,10
173,10
174,8
175,7
176,5
177,6
178,6
179,5
180,10
181,9
182,9
183,8
184,6
185,8
186,11
187,14
188,11
189,11
190,10
191,5
192,8
193,6
194,9
195,6
196,7
197,5
198,5
199,6
200,3
201,5
202,6
203,5
204,7
205,6
206,9
207,10
208,8
209,5
210,3
211,6
212,4
213,3
214,3
215,3
216,6
217,6
218,6
219,6
220,6
221,7
222,4
223,2
224,3
225,5
226,5
227,5
228,6
229,6
230,6
231,6
232,6
233,5
234,5
235,8
236,7
237,7
238,6
239,4
240,2
241,3
242,1
243,6
244,3
245,4
246,4
247,5
248,6
249,3
250,2
251,3
252,5
253,3
254,5
255,3
256,5
257,7
258,5
259,4
260,4
261,4
262,4
263,5
264,14
265,6
266,6
267,8
268,3
269,1
270,2
271,3
272,5
273,6
274,7
275,4
276,4
277,6
278,5
279,4
280,6
281,8
282,6
283,5
284,5
285,7
286,7
287,7
288,5
289,4
290,5
291,6
292,6
293,10
294,7
295,7
296,9
297,8
298,7
299,8
300,6
301,4
302,10
303,9
304,5
305,4
306,4
307,2
308,7
309,6
310,5
311,7
312,9
313,10
314,9
315,9
316,9
317,10
318,9
319,10
320,9
321,4
322,8
323,10
324,6
325,7
326,11
327,10
328,8
329,7
330,8
331,11
332,17
333,11
334,9
335,9
336,11
337,11
338,13
339,10
340,10
341,14
342,10
343,10
344,13
345,12
346,13
347,14
348,10
349,9
350,10
351,8
352,9
353,8
354,6
355,9
356,6
357,10
358,9
359,9
360,10
361,10
362,9
363,8
364,9
365,7
366,7
367,8
368,11
369,8
370,10
371,12
372,11
373,14
374,8
375,9
376,8
377,9
378,7
379,9
380,8
381,9
382,13
383,8
384,8
385,9
386,10
387,7
388,7
389,7
390,10
391,9
392,12
393,12
394,11
395,11
396,9
397,12
398,13
399,7
400,9
401,12
402,11
403,8
404,8
405,14
406,11
407,7
408,10
409,10
410,8
411,10
412,12
413,11
414,7
415,11
416,10
417,12
418,10
419,11
420,13
421,11
422,12
423,9
424,11
425,9
426,8
427,8
428,11
429,8
430,10
431,11
432,13
433,13
434,19
435,11
436,13
437,12
438,8
439,11
440,13
441,9
442,11
443,13
444,14
445,15
446,13
447,8
448,7
449,10
450,13
451,11
452,9
453,9
454,9
455,12
456,11
457,10
458,13
459,14
460,11
461,10
462,10
463,12
464,14
465,11
466,8
467,10
468,9
469,10
470,11
471,10
472,9
473,11
474,10
475,9
476,11
477,10
478,10
479,11
480,8
481,10
482,10
483,10
484,11
485,9
486,8
487,12
488,9
489,9
490,9
491,9
492,11
493,9
494,9
495,8
496,6
497,7
498,9
499,8
500,6
501,5
502,10
503,12
504,12
505,15
506,12
507,15
508,13
509,16
510,15
511,14
512,19
513,10
514,12
515,10
516,8
517,13
518,8
519,11
520,8
521,11
522,8
523,12
524,7
525,11
526,11
527,7
528,12
529,6
530,7
531,8
532,5
533,8
534,8
535,6
536,8
537,5
538,5
539,5
540,5
541,10
542,7
543,6
544,6
545,7
546,6
547,8
548,8
549,9
550,8
551,12
552,9
553,9
554,8
555,9
556,9
557,9
558,6
559,7
560,9
561,12
562,10
563,14
564,16
565,12
566,14
567,18
568,15
569,14
570,17
571,14
572,17
573,11
574,13
575,13
576,12
577,14
578,14
579,17
580,17
581,18
582,17
583,14
584,18
585,15
586,14
587,13
588,12
589,15
590,15
591,12
592,10
593,12
594,15
595,16
596,15
597,13
598,13
599,15
600,11
601,15
602,15
603,14
604,16
605,11
606,17
607,13
608,12
609,13
610,16
611,15
612,16
613,14
614,16
615,16
616,16
617,16
618,17
619,17
620,18
621,16
622,16
623,11
624,12
625,13
626,13
627,9
628,11
629,13
630,12
631,13
632,17
633,12
634,9
635,12
636,14
637,13
638,12
639,15
640,19
641,13
642,13
643,8
644,9
645,7
646,13
647,12
648,15
649,10
650,11
651,11
652,9
653,9
654,11
655,13
656,12
657,13
658,7
659,10
660,12
661,6
662,10
663,7
664,11
665,8
666,11
667,14
668,9
669,9
670,8
671,8
672,9
673,7
674,6
675,8
676,6
677,10
678,8
679,9
680,10
681,10
682,13
683,13
684,14
685,12
686,9
687,12
688,8
689,7
690,8
691,7
692,7
693,8
694,9
695,7
696,7
697,7
698,10
699,8
700,10
701,13
702,11
703,11
704,13
705,16
706,13
707,8
708,11
709,13
710,12
711,11
712,9
713,11
714,12
715,16
716,15
717,14
718,12
719,12
720,11
721,11
722,12
723,10
724,11
725,11
726,11
727,13
728,11
729,12
730,12
731,12
732,11
733,11
734,7
735,7
736,6
737,9
738,10
739,12
740,14
741,10
742,12
743,13
744,8
